DATE,T_MAX_RUS,T_MIN_RUS,T_AVG_RUS,RH_RUS,WND_RUS,PRCP_RUS,ONI
2009-04-02,9.533333333333331,0.1666666666666666,4.633333333333334,58.96666666666667,8.266666666666667,0.0,-0.33
2009-04-03,11.933333333333332,-0.5333333333333333,5.733333333333334,62.3,10.666666666666666,0.0,-0.33
2009-04-04,12.566666666666668,1.8333333333333333,6.8,60.833333333333336,13.7,0.0,-0.33
2009-04-05,13.433333333333332,0.7666666666666666,6.633333333333333,51.86666666666667,13.066666666666668,0.0,-0.33
2009-04-06,14.133333333333336,0.0666666666666667,5.833333333333333,55.13333333333333,10.7,0.0,-0.33
2009-04-07,11.7,0.4000000000000001,5.066666666666667,57.76666666666667,13.966666666666669,0.3333333333333333,-0.33
2009-04-08,12.1,0.0333333333333335,6.2,52.73333333333333,15.3,0.0,-0.33
2009-04-09,10.133333333333333,-1.5333333333333334,4.633333333333334,63.0,12.933333333333332,0.9333333333333332,-0.33
2009-04-10,12.233333333333334,-1.3333333333333333,5.2,47.86666666666667,12.766666666666666,0.0,-0.33
2009-04-11,7.733333333333333,-1.3666666666666665,3.1333333333333333,52.03333333333333,16.666666666666668,0.0,-0.33
2009-04-12,7.766666666666667,-1.2,3.233333333333333,64.7,8.433333333333334,0.1999999999999999,-0.33
2009-04-13,11.866666666666667,-2.9,3.466666666666667,64.93333333333334,14.4,0.0666666666666666,-0.33
2009-04-14,8.033333333333333,-3.6,1.6,56.8,13.966666666666669,1.0,-0.33
2009-04-15,7.333333333333333,-2.8000000000000003,1.9,50.1,12.8,0.0,-0.33
2009-04-16,9.133333333333333,0.0666666666666666,3.5666666666666664,68.89999999999999,14.133333333333333,0.1999999999999999,-0.33
2009-04-17,8.666666666666666,1.0,4.4,71.43333333333334,15.333333333333334,0.6666666666666666,-0.33
2009-04-18,11.866666666666667,0.7000000000000001,6.333333333333333,51.66666666666666,12.933333333333332,0.0999999999999999,-0.33
2009-04-19,8.766666666666667,-1.5999999999999996,3.6,59.66666666666666,7.533333333333334,0.2333333333333333,-0.33
2009-04-20,12.166666666666666,-1.3,5.666666666666667,48.76666666666667,15.633333333333333,4.333333333333333,-0.33
2009-04-21,10.1,-0.3333333333333333,4.8,71.7,16.5,17.166666666666668,-0.33
2009-04-22,7.0,-0.2,3.4,77.16666666666667,13.533333333333331,1.8666666666666665,-0.33
2009-04-23,13.8,-0.9666666666666668,6.566666666666666,58.93333333333334,11.866666666666667,0.0,-0.33
2009-04-24,13.933333333333332,0.7666666666666667,7.266666666666666,60.2,13.833333333333334,0.7666666666666666,-0.33
2009-04-25,12.0,1.5666666666666669,6.966666666666666,59.1,10.066666666666666,3.333333333333333,-0.33
2009-04-26,14.833333333333334,1.9666666666666668,7.633333333333333,57.3,14.3,1.6666666666666667,-0.33
2009-04-27,17.099999999999998,4.433333333333334,10.966666666666669,43.73333333333333,11.866666666666667,1.3333333333333333,-0.33
2009-04-28,14.366666666666667,2.2333333333333334,6.433333333333334,73.86666666666667,16.5,1.8333333333333333,-0.33
